FID,My_FID1,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
132,1,Tecpán Guatemala,Tecpan Quauhtemalan;Tecpan Quauhtemala;Quauhtemala;Tecpan Cuauhtemala;Cuauhtemala,Tecpán Guatemala,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.994686,14.762348,https://en.wikipedia.org/wiki/16th_century
103,2,Puerto de Acajutla, ,Puerto de Acajutla,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps, , ,-89.83408079,13.57435334,https://en.wikipedia.org/wiki/16th_century
66,3,Acasahuastlán,Acazchuastlán;Cazehuastlán;Acazehuastlán,San Cristobal Acasaguastlán,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.868,14.9265,https://en.wikipedia.org/wiki/16th_century
68,4,Acasingo, ,Acacingo,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Del Paso y Troncoso 1905;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.78194444,18.97972222,https://en.wikipedia.org/wiki/16th_century
39,5,Aguachapa,Ahuachapa,Ahuachapan,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.84637,13.92374,https://en.wikipedia.org/wiki/16th_century
166,6,Río Aguachapa, ,Río Aguacapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps,River,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-90.65064664,14.10054356,https://en.wikipedia.org/wiki/16th_century
90,7,Tizapa, , ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-92.611111,15.276944,https://en.wikipedia.org/wiki/16th_century
137,8,Lago de Amatitlán, ,Lago de Amatitlán,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps,Lake,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,-90.54658142,14.4363269,https://en.wikipedia.org/wiki/16th_century
181,9,Amayuca, , ,2,Dissapeared? Or near modern Obero,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Solares 2004,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-90.83113975,14.03454956,https://en.wikipedia.org/wiki/16th_century
72,10,Ciudad de los Angeles, ,Heroica Puebla de Zaragoza,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Del Paso y Troncoso 1905;Atlas 2010,Cabecera, ,-98.197222,19.043889,https://en.wikipedia.org/wiki/16th_century
86,11,Valle de Acaccuastlán, , ,2, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Allocated by research,Valley,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,-89.96121547,14.91343395,https://en.wikipedia.org/wiki/16th_century
131,12,Comalapa, ,Comalapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.88624,14.74142,https://en.wikipedia.org/wiki/16th_century
76,13,Apaneca, ,Apaneca,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.804906,13.859318,https://en.wikipedia.org/wiki/16th_century
