FID,My_FID10,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,,References,Type_URL,X,Y,Time_span
109,1,Colima, ,Colima,1, ,Mountain Range,0, ,,Acuña 1988;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.65722013,19.2915179,https://en.wikipedia.org/wiki/16th_century
139,2,San Juan, ,San Juan De Los Lagos,1, ,Mountain Range,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.0194444,19.91555556,https://en.wikipedia.org/wiki/16th_century
57,3,Acatique, ,Acatic,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-101.348056,20.672778,https://en.wikipedia.org/wiki/16th_century
52,4,Acatlan, ,Acatlan,1, ,Pueblo,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.1841667,19.46916667,https://en.wikipedia.org/wiki/16th_century
95,5,Melagua,Melaque;Jala;Xala,San Patricio (Melaque),1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.178056,18.006111,https://en.wikipedia.org/wiki/16th_century
12,6,Aguacatlan,Avacatlan, ,2, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.21861111,20.48222222,https://en.wikipedia.org/wiki/16th_century
96,7,Otlatlan,Ahuatlan,Ahuatlan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.315,19.49694444,https://en.wikipedia.org/wiki/16th_century
70,8,Amacueca, ,Amacueca,1, , ,0, ,,Acuña 1988;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.4668556,19.70250306,https://en.wikipedia.org/wiki/16th_century
69,9,Amatitan, ,Amatitan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.9141667,19.60166667,https://en.wikipedia.org/wiki/16th_century
64,10,Ameca, ,Ameca,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.8222222,20.36527778,https://en.wikipedia.org/wiki/16th_century
130,11,Toledo, ,Toledo,1, ,Mountain Range,0, ,,Acuña 1988;Google Maps;Google Earth;unikloc10gw,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-101.150546,23.140713,https://en.wikipedia.org/wiki/16th_century
66,12,Apango, ,Apango,1, ,Sujeto,81,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.1891667,20.29,https://en.wikipedia.org/wiki/16th_century
78,13,Apulco, ,Apozol,1, ,Sujeto,173,Depends on,,Acuña 1988;Sauer 1990: 46-47,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.5906935,19.64389117,https://en.wikipedia.org/wiki/16th_century
147,14,Xuchipila, , ,2, ,Mountain Range,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.3444444,20.12888889,https://en.wikipedia.org/wiki/16th_century
3,16,Ayotitlan, ,Ayotitlan,1, ,Cabecera,81,Depends on,,Acuña 1988;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.30177941,19.05826814,https://en.wikipedia.org/wiki/16th_century
63,16,Ayotitlan,Ayutitlan,Ayotitlán,1, ,Cabecera,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.8744444,19.79222222,https://en.wikipedia.org/wiki/16th_century
13,17,Ayutla, ,Ayutla,1, ,Cabecera,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-98.0525,20.17472222,https://en.wikipedia.org/wiki/16th_century
143,21,Boca de los Leones,Mal Paso, ,2, ,Mountain Range,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.1641667,20.2175,https://en.wikipedia.org/wiki/16th_century
