FID,My_FID2,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
262,1,Antequera, ,Antequera,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-4.559097597,37.01736727,https://en.wikipedia.org/wiki/16th_century
110,2,Acalapa, ,Acalapa,1, ,0, ,,,Acuña 1984;GeoNames_MX, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.23634,17.93781,https://en.wikipedia.org/wiki/16th_century
263,3,Castilla, , ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-4.036373825,39.02985948,https://en.wikipedia.org/wiki/16th_century
36,4,Acatlan, ,San Luis Acatlán,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.73361111,16.80722222,https://en.wikipedia.org/wiki/16th_century
45,5,Acayuca, ,Acayucan,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.91388889,17.94805556,https://en.wikipedia.org/wiki/16th_century
264,6,España, ,San Lorenzo del Escorial,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-4.148009986,40.58901942,https://en.wikipedia.org/wiki/16th_century
265,7,Coruña, ,A Coruña,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-8.395869246,43.37089013,https://en.wikipedia.org/wiki/16th_century
266,8,Salamanca, ,Salamanca,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-5.664059204,40.96501083,https://en.wikipedia.org/wiki/16th_century
136,9,Agualulco,Ayahualulco;Los Yagualulcos, ,1, ,0, ,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-93.8162,18.173378,https://en.wikipedia.org/wiki/16th_century
267,10,Río de Sevilla, ,Guadalquivir,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, , ,-6.006278878,37.39184444,https://en.wikipedia.org/wiki/16th_century
5,11,Aguataco, ,Ahuatepec,1, ,0, ,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.675934,17.770605,https://en.wikipedia.org/wiki/16th_century
