FID,My_FID3,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
60,1,Puerto de Acapulco, ,Acapulco De Juarez,1, ,Harbor,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-99.88998311,16.86491458,https://en.wikipedia.org/wiki/16th_century
227,2,Castilla, , ,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-4.036373825,39.02985948,https://en.wikipedia.org/wiki/16th_century
111,3,Acatlan, ,San Luis Acatlán,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.73361111,16.80722222,https://en.wikipedia.org/wiki/16th_century
73,4,Achiutla,Yñudico,Achiutla,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.48833333,17.30444444,https://en.wikipedia.org/wiki/16th_century
228,5,España, ,San Lorenzo del Escorial,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-4.148009986,40.58901942,https://en.wikipedia.org/wiki/16th_century
186,6,Río de Alvarado, , ,1, ,River,215,Near,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-96.9977844,17.83116458,https://en.wikipedia.org/wiki/16th_century
229,7,Salamanca, ,Salamanca,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-5.664059204,40.96501083,https://en.wikipedia.org/wiki/16th_century
230,8,Medina del Campo, ,Medina del Campo,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-4.915023118,41.30840234,https://en.wikipedia.org/wiki/16th_century
231,9,Arévalo, ,Arévalo,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-4.719115221,41.05975871,https://en.wikipedia.org/wiki/16th_century
125,10,Amoltepeque,Amoltepec;Yucu Nama,Amoltepec,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.4959797,16.6412582,https://en.wikipedia.org/wiki/16th_century
13,11,Ciudad de los Angeles,Puebla de los Ángeles,Heroica Puebla de Zaragoza,1, , ,0, ,,,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.197222,19.043889,https://en.wikipedia.org/wiki/16th_century
46,12,Ciudad de Antequera,Antequera;Guaxaca,Oaxaca De Juarez,1, , ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.72190157,17.0605374,https://en.wikipedia.org/wiki/16th_century
232,13,Chile, ,Chile,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,-70.6433496,-33.44778657,https://en.wikipedia.org/wiki/16th_century
