FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
138,1,Río de Zahuapan,Zahuapan;Zahuatl,Río de Zahuapan,1, ,River,392, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-98.29292714,19.20610226
21,2,Acámbaro,Acanbaro,Acámbaro,1, , ,0, , ,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-100.719167,20.035278
38,3,Acapetlahuacan, ,Acapetlahuacan,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.44722222,18.8975
70,4,Acatzinco, ,Acatzingo,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.78194444,18.97972222
4,6,Acolman, ,Acolman,1, , ,0, , ,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.9113599,19.63937013
286,7,Roma, ,Basílica de San Pedro,1, , ,0, , ,GoogleMaps, , ,12.45337236,41.90214743
135,8,Ahuayocan, ,Ahuayocan,1, , ,0, , ,Acuña 1984;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.68880083,18.93919889
104,9,Ahuazhuatepec, ,Ahuatepec,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.91527778,18.85722222
42,10,Almería,Nauhtlan,Nautla,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.77222222,20.20722222
125,11,Almoloyan,Almoloya,Almoloya,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.40305556,19.70166667
217,12,Altos de México,Altos de Guauximalpa,Cuajimalpa de Morelos,1, , ,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.28774,19.35925
102,13,Amaquemecan,Chalco Amaquemacan,Amecameca,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.76277778,19.12777778
84,14,Volcán de Amaquemecan,Volcán de Huexotzinco,Popocatepetl,1, ,Volcano,0, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1209,https://en.wikipedia.org/wiki/16th_century,-98.62376841,19.02317214
247,15,Río de Amecarro,Amecarro,Río Ameca,1,En la Provincia de Avalos (Sayula),River,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-105.281,20.6725
285,16,Portugal, ,Portugal,1, , ,0, , ,GoogleMaps, , ,-9.251208846,38.92812273
