FID,My_FID6,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID6,FID_Relat2,Type2,References,Type_URL,X,Y,Time_span
516,1,África,Africa,África,1, ,Continent,0, ,1,0, , , ,20.87464329,10.379393,https://en.wikipedia.org/wiki/16th_century
334,2,Acahuitla,Acachiauhtlan,San Antonio Acachautla,1, ,Estancia,494, ,2,0, ,Acuña 1985;Ramirez 2006, ,-99.825,18.4282,https://en.wikipedia.org/wiki/16th_century
398,3,Acamaluca del Sur,Acamalutla del Sur;Acamaluca;Acamalutla, ,2,Dissapeared,Cabecera,0, ,3,0, ,Acuña 1985;Garza 2009;Gerhard 1972;Google Earth, ,-99.96,17.0511,https://en.wikipedia.org/wiki/16th_century
517,4,Asia, ,Asia,1, ,Continent,0, ,4,0, , , ,83.35171599,45.79773351,https://en.wikipedia.org/wiki/16th_century
83,5,Acapetlahuaya, ,Acapetlahuaya,1, ,Sujeto,327,Depends on,5,0, ,Acuña 1985;INEGI: MEX_topoloc, ,-100.0740744,18.41887688,https://en.wikipedia.org/wiki/16th_century
16,6,Acapiztla,Villa de Acapistla;Acapistla;Xihuiyacapitzalan;Xihui Yacapitzalan,Yecapixtla,1,Cuatro Villas,Villa,0, ,6,0, ,Acuña 1985;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,-98.86533115,18.88263981,https://en.wikipedia.org/wiki/16th_century
2,7,Acapulco, ,Acapulco De Juarez,1, ,Harbor,0, ,7,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-99.88998311,16.86491458,https://en.wikipedia.org/wiki/16th_century
518,8,Burgos, ,Burgos,1, , ,0, ,8,0, , , ,-3.70415472,42.34073826,https://en.wikipedia.org/wiki/16th_century
31,9,Acatempa,Ocotempan,Acatempan,1, ,Estancia,494,Depends on,9,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.88194444,18.31777778,https://en.wikipedia.org/wiki/16th_century
30,10,Acatlan, ,Acatlan,1, , ,0, ,10,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.43777778,20.14388889,https://en.wikipedia.org/wiki/16th_century
306,11,Acatlan, ,Acatlán del Río,1, ,Sujeto,538, ,11,0, ,Acuña 1985;GeoNames_MX, ,-99.9011,17.9314,https://en.wikipedia.org/wiki/16th_century
240,12,Acayahualco, ,Acayahualco,1, ,Estancia,513,Depends on,12,0, ,Acuña 1985;Atlas 2010, ,-99.481111,18.224444,https://en.wikipedia.org/wiki/16th_century
519,13,Castilla, , ,1, , ,0, ,13,0, , , ,-4.036373825,39.02985948,https://en.wikipedia.org/wiki/16th_century
10,14,Achichipico, ,Achichipico,1, ,Estancia,6,Depends on,14,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-98.82611111,18.94833333,https://en.wikipedia.org/wiki/16th_century
520,15,Villa de Carrión, ,Carrión de los Condes,1, ,Villa,0, ,15,0, , , ,-4.603217647,42.33842136,https://en.wikipedia.org/wiki/16th_century
521,16,Puerto de Palos, ,Palos de la Frontera,1, ,Port,0, ,16,0, , , ,-6.89652784,37.22993496,https://en.wikipedia.org/wiki/16th_century
314,17,Acuacuyula, ,Coacuyula de Álvarez,1, ,Estancia,513, ,17,0, ,Acuña 1985;GeoNames_MX, ,-99.6311,18.0736,https://en.wikipedia.org/wiki/16th_century
143,18,Acuitlapilco, ,Acuitlapilco,1, ,Barrio,676,Depends on,18,0, ,Acuña 1985;GeoNames_MX, ,-99.03427,19.76165,https://en.wikipedia.org/wiki/16th_century
522,19,Perú, ,Perú,0, , ,0, ,19,0, , , ,-76.6674997,-9.325485278,https://en.wikipedia.org/wiki/16th_century
234,20,Acxotla, ,Acelotla,1, ,Sujeto,648,Depends on,20,0, ,Acuña 1985;Google Maps, ,-98.65544,19.88164,https://en.wikipedia.org/wiki/16th_century
242,21,Agacuatitlan,Ahuacatitlan;Agacuatitan;Aguacatitlan,Ahuacatitlan,1, ,Estancia,513,Depends on,21,0, ,Acuña 1985;Toponimos50k, ,-99.43081666,18.28083306,https://en.wikipedia.org/wiki/16th_century
523,22,Sevilla, ,Sevilla,1, , ,0, ,22,0, , , ,-5.99702321,37.39052274,https://en.wikipedia.org/wiki/16th_century
524,23,Chalco, ,Chalco,1, , ,0, ,23,0, ,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.89639959,19.26195825,https://en.wikipedia.org/wiki/16th_century
303,24,Ahuacatitlan, ,Aguacatitla,1, ,Sujeto,538, ,24,0, ,Acuña 1985;GeoNames_MX, ,-100.19,17.866,https://en.wikipedia.org/wiki/16th_century
139,25,Ahuacatitlan,Aguacatitlan,Ahuacatitlan,1, ,Estancia,494,Depends on,25,0, ,Acuña 1985;GeoNames_Mx, ,-99.82159,18.37703,https://en.wikipedia.org/wiki/16th_century
477,26,Ahuaquauhtitlan,Ahuacatitlán;Aguacatlan, ,2,Dissapeared,Sujeto,117, ,26,0, ,Acuña 1985;Allocated by research, ,-98.6666,19.8999,https://en.wikipedia.org/wiki/16th_century
352,27,Ahuehuepan, ,Barranca Ahuehuepan,1, ,River,1027, ,27,0, ,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-98.97014,18.829,https://en.wikipedia.org/wiki/16th_century
464,28,Ahuehuetitlan, , ,2,Montecillo,Sujeto,382, ,28,0, ,Acuña 1985;Rojas et al. 1999, ,-98.9081,19.4562,https://en.wikipedia.org/wiki/16th_century
106,29,Ahuehuetlan,Ahuehuetla,Ahuehuetla,1, ,Estancia,494,Depends on,29,711,Sujeto,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.93833333,18.31222222,https://en.wikipedia.org/wiki/16th_century
525,30,España, ,San Lorenzo del Escorial,1, , ,0, ,30,0, , , ,-4.148009986,40.58901942,https://en.wikipedia.org/wiki/16th_century
430,31,Ahueyiztaco, , ,2,Dissapeared, ,223, ,31,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.6588,18.4841,https://en.wikipedia.org/wiki/16th_century
156,32,Almolonga, , ,2, ,Valley,178,Contain,32,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,-99.83589027,18.12437663,https://en.wikipedia.org/wiki/16th_century
60,33,Almolonga, ,Almoloya,1, ,Sujeto,642,Depends on,33,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-100.1772222,18.3675,https://en.wikipedia.org/wiki/16th_century
526,34,Europa, ,European Commission Headquarters,1, , ,0, ,34,0, , , ,4.382640682,50.84363906,https://en.wikipedia.org/wiki/16th_century
527,35,Mechuacan, ,Tzintzuntzan,1, , ,0, ,35,0, ,Acuña 1987;Carrillo Cazares 1996, ,-101.573402,19.62326,https://en.wikipedia.org/wiki/16th_century
340,36,Amatepeque, ,Amate de la Piedra,1, ,Sujeto,223, ,36,0, ,Acuña 1985;Ramirez 2006, ,-99.8791,18.4906,https://en.wikipedia.org/wiki/16th_century
528,37,Zacatula, ,Zacatula,1, , ,0, ,37,0, ,Acuña 1987;Atlas 2010, ,-102.178056,18.006111,https://en.wikipedia.org/wiki/16th_century
162,38,Amayucan,Amayuca,Amayuca,1, , ,0, ,38,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.79861111,18.72333333,https://en.wikipedia.org/wiki/16th_century
498,39,Amecapalco, , ,2,Dissapeared. Located six leagues from the cabecera to the west,Estancia,513,Depends on,39,0, ,Acuña 1985;Vazquez 1965: 35, ,-99.76736,18.31968,https://en.wikipedia.org/wiki/16th_century
163,40,Ameyalco,Santa María Magdalena Ameyalco,Iglesia Santa María Magdalena,1, ,Barrio,20157,Depends on,40,0, ,Acuña 1985;Google Maps, ,-98.84720784,19.38530749,https://en.wikipedia.org/wiki/16th_century
159,41,Amilco, ,Amealco,1, ,Sujeto,223,Depends on,41,0, ,Acuña 1985;GeoNames MX, ,-99.71536,18.47746,https://en.wikipedia.org/wiki/16th_century
529,42,Culhuacan,Culiacan,Culiacan Rosales,1, , ,0, ,42,0, ,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-107.393611,24.808611,https://en.wikipedia.org/wiki/16th_century
351,43,Amilltzingo, ,Amilicingo,1, ,Estancia,360, ,43,0, ,Acuña 1985;GeoNames_MX, ,-98.7731,18.7435,https://en.wikipedia.org/wiki/16th_century
394,44,Amoyoc,Tabuco,"Zona Arqueológica de Tabuco, Tuxpan",1, ,Harbor,0, ,44,0, ,Acuña 1985;Ochoa 2001;Google Earth,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-97.336,20.9571,https://en.wikipedia.org/wiki/16th_century
530,45,Las Indias,Nuevo Mundo,Las Indias Occidentales,1, , ,0, ,45,0, ,Allocated by research, ,-75.351208,19.24294408,https://en.wikipedia.org/wiki/16th_century
531,46,Nueva España, ,México,1, , ,0, ,46,0, ,Allocated by research, ,-99.12477328,19.45212213,https://en.wikipedia.org/wiki/16th_century
72,47,Anenecuilco, ,Anenecuilco,1, ,Cabecera,204,Depends on,47,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-98.99444444,18.76611111,https://en.wikipedia.org/wiki/16th_century
377,48,Anenezco, ,San Francisco Molonco,1, ,Barrio,676, ,48,0, ,Acuña 1985;GeoNames_MX, ,-99.0656,19.7462,https://en.wikipedia.org/wiki/16th_century
80,49,Angeles,Los Angeles;Puebla;Puebla de los Ángeles,Heroica Puebla de Zaragoza,1, ,City,0, ,49,0, ,Acuña 1985;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=202,-98.197222,19.043889,https://en.wikipedia.org/wiki/16th_century
532,50,Nueva Galicia, , ,1,Central point, ,0, ,50,0, ,Allocated by research, ,-103.2352306,20.82646249,https://en.wikipedia.org/wiki/16th_century
217,51,Apango, ,Apango,1, ,Sujeto,163,Depends on,51,0, ,Acuña 1985;Atlas 2010, ,-99.677222,18.235,https://en.wikipedia.org/wiki/16th_century
89,54,Apazco, ,Apaxco De Ocampo,1, , ,0, ,54,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17358823,19.97650189,https://en.wikipedia.org/wiki/16th_century
185,55,Apaztla, ,Apaxtla,1, ,Sujeto,178,Depends on,55,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.93166667,18.12972222,https://en.wikipedia.org/wiki/16th_century
188,56,Apetlanca, ,Apetlanca,1, ,Estancia,178,Depends on,56,0, ,Acuña 1985;Atlas 2010, ,-99.789167,18.2075,https://en.wikipedia.org/wiki/16th_century
239,57,Apitzactli,Río Pequeño, ,1, ,River,538,Near,57,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-100.0761475,17.96918408,https://en.wikipedia.org/wiki/16th_century
533,58,Yucatán, ,Yucatán,1, , ,0, ,58,0, ,GoogleMaps, ,-89.36894743,19.19480396,https://en.wikipedia.org/wiki/16th_century
310,59,Ascala, ,Atzcala,1, ,Estancia,513, ,59,0, ,Acuña 1985;GeoNames_MX, ,-99.6631,17.9778,https://en.wikipedia.org/wiki/16th_century
226,61,Nuestra Señora de la Asunción, ,Iglesia de la Purisima Concepción,1, ,Church,513,Within,61,0, ,Acuña 1985;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,-99.46457649,18.28700377,https://en.wikipedia.org/wiki/16th_century
271,62,Nuestra Señora de la Asunción, , ,2,Iglesia de Mayauala,Church,276,Within,62,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,-99.43446746,18.17338386,https://en.wikipedia.org/wiki/16th_century
406,65,Atemantlan, , ,2,¿Tenantla?,Estancia,513, ,65,0, ,Acuña 1985;GeoNames_MX, ,-99.66667,17.8833,https://en.wikipedia.org/wiki/16th_century
14,66,Atengo,Andehes,Atengo,1, , ,0, ,66,0, ,Acuña 1985;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.33294743,20.17646225,https://en.wikipedia.org/wiki/16th_century
