FID,My_FID7,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID7,FID_Relat2,Type2,End_Date,References,Type_URL,X,Y,Time_span
342,1,Castilla, , ,1, , ,0, ,1,0, ,30/12/1899 00:00:00, , ,-4.036373825,39.02985948, 
343,2,Cuernavaca, ,Cuernavaca,1, , ,0, ,2,0, ,30/12/1899 00:00:00,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.23416667,18.91861111,https://en.wikipedia.org/wiki/16th_century
69,3,Acamilixtlahuacan, ,Acamixtla,1, ,Cabecera,446,Depends on,3,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.56611111,18.56166667,https://en.wikipedia.org/wiki/16th_century
124,4,Acamochitlan, ,Acamuchitlan,1, ,Sujeto,488,Depends on,4,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-100.2675,18.83611111,https://en.wikipedia.org/wiki/16th_century
34,5,Acatitlan, ,Acatitlan,1, ,Sujeto,455,Depends on,5,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.94777778,18.92027778,https://en.wikipedia.org/wiki/16th_century
177,6,Acayuca,Acayucan,Acayuca,1, , ,0, ,6,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.84111111,20.02972222,https://en.wikipedia.org/wiki/16th_century
344,7,Izúcar,Itzocan,Izúcar de Matamoros,1, , ,0, ,7,0, ,30/12/1899 00:00:00,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.465,18.60305556,https://en.wikipedia.org/wiki/16th_century
5,9,Acolman,Aculma;Aculman,Acolman,1, ,Cabecera,0, ,9,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,-98.9113599,19.63937013,https://en.wikipedia.org/wiki/16th_century
166,10,Acopinalco, ,Acopinalco,1, ,Sujeto,463,Depends on,10,0, ,,Acuña 1986;Atlas 2010, ,-98.531667,19.708056,https://en.wikipedia.org/wiki/16th_century
17,11,Acuitlapan, ,Acuitlapan,1, ,Cabecera,446,Depends on,11,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.54305556,18.60083333,https://en.wikipedia.org/wiki/16th_century
346,12,Las Indias,Nuevo Mundo,Las Indias Occidentales,1, , ,0, ,12,0, ,30/12/1899 00:00:00,Allocated by research, ,-75.351208,19.24294408,https://en.wikipedia.org/wiki/16th_century
99,13,Alahuiztlan, ,Alahuixtlan,1, , ,0, ,13,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.0375,18.57277778,https://en.wikipedia.org/wiki/16th_century
347,14,Nueva España, ,México,1, , ,0, ,14,0, ,30/12/1899 00:00:00,Allocated by research, ,-99.12477328,19.45212213,https://en.wikipedia.org/wiki/16th_century
348,15,Suchimilco, ,Xochimilco,1, , ,0, ,15,0, ,30/12/1899 00:00:00,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.1025,19.2625,https://en.wikipedia.org/wiki/16th_century
110,18,Almoloyan, ,Almoloya,1, ,Sujeto,488,Depends on,18,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.89361111,18.86388889,https://en.wikipedia.org/wiki/16th_century
67,19,Amanalco, ,Amanalco,1, ,Sujeto,455,Depends on,19,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-100.0197222,19.25194444,https://en.wikipedia.org/wiki/16th_century
77,20,Almoloya, ,Almoloya,1, ,Sujeto,463,Depends on,20,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.40305556,19.70166667,https://en.wikipedia.org/wiki/16th_century
239,22,Aparvato,Aparuato,Aparuato,1, ,Sujeto,523,Depends on,22,0, ,,Acuña 1986;Cline 1976, ,-100.60773,18.98164,https://en.wikipedia.org/wiki/16th_century
78,23,Apatzingan,Cutzamala;Cuzamala,Cutzamala,1, , ,0, ,23,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.5783333,18.46472222,https://en.wikipedia.org/wiki/16th_century
65,24,Apazco, ,Apaxco De Ocampo,1, , ,0, ,24,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17358823,19.97650189,https://en.wikipedia.org/wiki/16th_century
333,26,Ateticpac, ,Titipac Cuentla,1, ,Sujeto,455,Depends on,26,0, ,30/12/1899 00:00:00,Acuña 1986;GeoNames_MX, ,-100.0422271,18.94767296,https://en.wikipedia.org/wiki/16th_century
38,27,Atitalaquia, ,Atitalaquia,1, , ,0, ,27,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.22141532,20.05834079,https://en.wikipedia.org/wiki/16th_century
133,29,Atlamaxac San Miguel,Atlanmaxac;San Miguel Atlamaxac;San Miguel Atlanmaxac,Atlamajac,1, ,Sujeto,472,Depends on,29,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.93333333,19.74777778,https://en.wikipedia.org/wiki/16th_century
22,30,Atlatlauhcan, ,Atlatlahucan,1, , ,0, ,30,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.89960396,18.9373464,https://en.wikipedia.org/wiki/16th_century
85,31,Atotonilco, ,Atotonilco (El Grande),1, , ,0, ,31,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.67,20.28611111,https://en.wikipedia.org/wiki/16th_century
90,32,Atzalan, ,Atzala,1, ,Cabecera,446,Depends on,32,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.66027778,18.51277778,https://en.wikipedia.org/wiki/16th_century
139,35,Axalpa, ,San Pedro Xalpa,1, ,Sujeto,74,Depends on,35,0, ,,Acuña 1986;Atlas 2010, ,-99.185833,19.823611,https://en.wikipedia.org/wiki/16th_century
59,37,Azcaputzalco,Azcapotzalco,Azcapotzalco,1, , ,0, ,37,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.18333333,19.48277778,https://en.wikipedia.org/wiki/16th_century
220,42,Tetelatzingo,Real De Tetelatzingo,Taxco,1, ,Barrio,447,Depends on,42,0, ,,Acuña 1986;Gitlitz 2019, ,-99.603764,18.557796,https://en.wikipedia.org/wiki/16th_century
235,45,Nepopoalco,Xalatlauhco,Tetela del Volcán,1,It became part of Tetela del Volcán,Sujeto,0,Depends on,45,0, ,,Acuña 1986;Gerhard 1972, ,-98.736514,18.896711,https://en.wikipedia.org/wiki/16th_century
83,47,Calimayan, ,Calimaya,1, , ,0, ,47,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.61678797,19.16323659,https://en.wikipedia.org/wiki/16th_century
53,48,Calpa, ,Calpan,1, , ,0, ,48,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.46333333,19.10361111,https://en.wikipedia.org/wiki/16th_century
45,49,Calpulalpa, ,Calpulalpan,1, , ,0, ,49,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.56916667,19.58777778,https://en.wikipedia.org/wiki/16th_century
98,54,Tlacotepec,Tlacotepeque,Tlacotepec,1, , ,0, ,54,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.65666667,18.68,https://en.wikipedia.org/wiki/16th_century
32,56,Cempoala,Cempuala,Zempoala,1, , ,0, ,56,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.66972222,19.915,https://en.wikipedia.org/wiki/16th_century
186,57,Cerro Anacatlan,Anacatlan, ,2, ,Hill,0, ,57,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-100.0487796,19.03364562,https://en.wikipedia.org/wiki/16th_century
187,58,Cerro de Chapultepeque,Chapultepeque,Chapultepec,1, ,Hill,0, ,58,0, ,,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.18805556,19.41935852,https://en.wikipedia.org/wiki/16th_century
189,60,Cerro Elocotl,Elocotl;Yelocotl, ,1, ,Hill,0, ,60,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.9718846,19.65201265,https://en.wikipedia.org/wiki/16th_century
190,61,Cerro Tenan,Tenan, ,1, ,Hill,0, ,61,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.82354358,19.74717774,https://en.wikipedia.org/wiki/16th_century
191,62,Cerro Temimilltitlan,Temimilltitlan, ,2, ,Hill,455,Near,62,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.96743553,18.97752408,https://en.wikipedia.org/wiki/16th_century
188,63,Cerro Tlahuilquaitl,Tlahuilquaitl;Tlahuilquitl, ,1, ,Hill,0, ,63,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.94772068,19.62840697,https://en.wikipedia.org/wiki/16th_century
94,65,Chapulhuacan, ,Chapulhuacán,1, , ,0, ,65,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.904444,21.159167,https://en.wikipedia.org/wiki/16th_century
103,66,Chiapa, ,Chapa De Mota,1, , ,0, ,66,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.52638889,19.81527778,https://en.wikipedia.org/wiki/16th_century
81,69,Chiconauhtla,Chicnauhtlan,Chiconautla,1,Corregimiento,Pueblo,0, ,69,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.005,19.63944444,https://en.wikipedia.org/wiki/16th_century
26,71,Chimalhuacan, ,Chimalhuacán,1, , ,0, ,71,0, ,,Acuña 1986;Google Maps;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.945278,19.416667,https://en.wikipedia.org/wiki/16th_century
31,72,Cholula, ,Cholula De Rivadabia,1, , ,0, ,72,0, ,,Acuña 1986;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.30177942,19.05826813,https://en.wikipedia.org/wiki/16th_century
18,74,Citlaltepec, ,Zitlaltepec,1, ,Cabecera,0, ,74,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.14777778,19.80916667,https://en.wikipedia.org/wiki/16th_century
102,75,Coatepec, ,Coatepec De Los Costales,1, , ,0, ,75,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.72111111,18.34027778,https://en.wikipedia.org/wiki/16th_century
48,77,Coatlan, ,Chontalcoatlan,1, ,Cabecera,0, ,77,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.57222222,18.65277778,https://en.wikipedia.org/wiki/16th_century
55,78,Cocula, ,Cocula,1, , ,0, ,78,0, ,,Acuña 1986;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.66115319,18.23591324,https://en.wikipedia.org/wiki/16th_century
117,79,Cohuatlichan, ,Coatlinchan,1, , ,0, ,79,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.87222222,19.44888889,https://en.wikipedia.org/wiki/16th_century
192,83,Cordillera Hichayaruparu,Hichayaruparu, ,1, ,Mountain Range,523,Near,83,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-100.7572939,19.22449522,https://en.wikipedia.org/wiki/16th_century
