FID,My_FID8,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
26,1,Acapixtla,4 villas;Villa del Marquesado,Yecapixtla,1, ,Villa,0, ,,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,-98.86533115,18.88263981,https://en.wikipedia.org/wiki/16th_century
51,2,Acapulco,Puerto de Acapulco,Acapulco De Juarez,1, ,Harbor,0, ,,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-99.88998311,16.86491458,https://en.wikipedia.org/wiki/16th_century
127,3,Acatetelco, ,"Parque Ejidal """"El Contador"""" (Los Ahuehuetes)",1, ,Houses of pleasure,164,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Parsons 2008,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=143,-98.92344,19.547826,https://en.wikipedia.org/wiki/16th_century
137,5,Castilla, , ,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , ,-4.036373825,39.02985948, 
28,6,Ahuatlan, ,Ahuatlan,1, ,Sujeto,181,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.93,18.99444444,https://en.wikipedia.org/wiki/16th_century
43,7,Almoloyan, ,Almoloya,1, ,Cabecera,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.89361111,18.86388889,https://en.wikipedia.org/wiki/16th_century
25,8,Amatepec, ,Amatepec,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.1858333,18.68222222,https://en.wikipedia.org/wiki/16th_century
138,9,España, ,San Lorenzo del Escorial,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , ,-4.148009986,40.58901942, 
18,10,Anecuilco, ,Anenecuilco,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.99444444,18.76611111,https://en.wikipedia.org/wiki/16th_century
29,11,Apazco, ,Apaxco De Ocampo,1, , ,0, ,,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17358823,19.97650189,https://en.wikipedia.org/wiki/16th_century
