FID,My_FID5,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID5,Type2,FID_Relat2,References,Type_URL,Time_span,X,Y
26,1,Acapulco, ,Acapulco De Juarez,1, , ,0, ,1, ,0,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.88998311,16.86491458
144,2,Acapetlahuacan,Acapetlahuaca,Acapetlahuacan,1, , ,0, ,2, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.44722222,18.8975
281,3,Acatempan, ,Acatempa,1, ,Estancia,260,Depends on,3, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-99.366389,17.643333
471,4,África,Africa,África,1, ,Continent,0, ,4, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,20.87464329,10.379393
472,5,Almagro, ,Almagro,1, , ,0, ,5, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-3.712552541,38.8886062
79,6,Acatlan,Yucu Yuxi;Yuta Tixaa,Acatlan De Osorio,1, ,Cabecera,0, ,6,Alcaldía Mayor,0,Acuña 1985;INEGI: MEX_topoloc, ,https://en.wikipedia.org/wiki/16th_century,-98.05020203,18.20422077
365,7,Santiago,Santiago de Tepeaca,Santiago Acozac,2, ,Sujeto,608,Depends on,7, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.811667,18.956944
473,8,Andalucía, ,Andalucía,1, , ,0, ,8, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-5.482863716,37.32834295
474,9,Cabo Verde, ,Cabo Verde,1, , ,0, ,9, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-23.53459728,14.94330876
419,10,Acatonaltepec, ,Los Idolos,1,Glosa de la pintura de Veracruz,Pueblo,0, ,10, ,0,Acuña 1985;Garcia Payon 1966,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.518268,19.411878
121,11,Acatzingo,Xalatzingo;Jalatzingo;Tzanatzinco,Acatzingo,1, ,Sujeto,608,Depends on,11, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.78194444,18.97972222
475,12,Campeche, ,San Francisco de Campeche,1, ,Pueblo,0, ,12, ,0,De la Garza 1983;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-90.52472222,19.85166667
476,13,Castilla, , ,1, , ,0, ,13, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-4.036373825,39.02985948
35,14,Acultzingo, ,Acultzingo,1, , ,0, ,14, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.29666667,18.71972222
303,15,Aguateupa,Guateupa, ,2,Dissapeared,Estancia,667,Depends on,15, ,0,Acuña 1985;Garcia de Leon 2011, ,https://en.wikipedia.org/wiki/16th_century,-95.71574,18.59728
477,16,Cempoala, ,Zempoala,1, , ,0, ,16, ,0,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.66972222,19.915
429,17,Aguilar el Bajo,Venta Aguilar de Bajo, ,2,Dissapeared. Glosa de la pintura de Xalapa,Inn,0, ,17, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=143,https://en.wikipedia.org/wiki/16th_century,-96.99814,19.62237
